Genome	EXC	INF	LNF	PLOT	NIPH	ALM	ASM
GCA_015889105.1_PDT000902870.1_genomic.fa	1775	559	2470	18	56	18	38
GCA_015889125.1_PDT000902869.1_genomic.fa	2274	8	2567	8	31	16	30
GCA_015889145.1_PDT000902867.1_genomic.fa	2238	18	2592	11	31	17	27
GCA_015889225.1_PDT000902826.1_genomic.fa	2164	89	2605	5	30	17	24
GCA_015889245.1_PDT000902827.1_genomic.fa	2249	1	2604	8	31	17	24
GCA_015889265.1_PDT000902829.1_genomic.fa	2245	18	2592	5	29	18	27
GCA_015889285.1_PDT000902821.1_genomic.fa	2409	10	2405	11	38	18	43
GCA_015889305.1_PDT000902832.1_genomic.fa	2184	126	2514	14	37	20	39
GCA_015889325.1_PDT000902863.1_genomic.fa	1119	1174	2561	4	28	20	28
GCA_015889345.1_PDT000902865.1_genomic.fa	2272	7	2569	9	30	17	30
GCA_015889355.1_PDT000902823.1_genomic.fa	2230	9	2617	3	31	17	27
GCA_015889385.1_PDT000902830.1_genomic.fa	2247	20	2589	3	30	18	27
GCA_015889405.1_PDT000902833.1_genomic.fa	2370	5	2440	12	44	24	39
GCA_015889425.1_PDT000902860.1_genomic.fa	2263	11	2576	8	27	17	32
GCA_015889445.1_PDT000902864.1_genomic.fa	2260	11	2582	5	29	17	30
GCA_015889455.1_PDT000902825.1_genomic.fa	2235	76	2536	7	28	23	29
GCA_015889485.1_PDT000902828.1_genomic.fa	2254	11	2597	5	22	17	28
GCA_015889505.1_PDT000902862.1_genomic.fa	2262	217	2346	7	36	24	42
GCA_015889525.1_PDT000902859.1_genomic.fa	2472	10	2343	5	38	25	41
GCA_015889535.1_PDT000902831.1_genomic.fa	2251	17	2588	5	29	18	26
GCA_015889565.1_PDT000902850.1_genomic.fa	2290	28	2532	5	29	22	28
GCA_015889575.1_PDT000902861.1_genomic.fa	2476	3	2345	7	36	25	42
GCA_015889605.1_PDT000902858.1_genomic.fa	2364	88	2367	9	38	22	46
GCA_015889625.1_PDT000902851.1_genomic.fa	580	1595	2666	4	43	19	27
GCA_015889645.1_PDT000902852.1_genomic.fa	2283	5	2569	4	26	18	29
GCA_015889655.1_PDT000902857.1_genomic.fa	2349	44	2412	9	52	27	41
GCA_015889685.1_PDT000902853.1_genomic.fa	1062	1209	2585	10	18	22	28
GCA_015889705.1_PDT000902855.1_genomic.fa	2414	10	2380	11	53	24	42
GCA_015889725.1_PDT000902854.1_genomic.fa	2214	61	2583	10	20	20	26
GCA_015889745.1_PDT000902849.1_genomic.fa	2167	164	2531	8	22	19	23
GCA_015889765.1_PDT000902848.1_genomic.fa	2274	2	2574	9	28	17	30
GCA_015889785.1_PDT000902847.1_genomic.fa	2285	0	2567	6	30	16	30
GCA_015889805.1_PDT000902846.1_genomic.fa	2282	1	2567	7	30	17	30
GCA_015889825.1_PDT000902844.1_genomic.fa	2423	2	2380	11	51	25	42
GCA_015889845.1_PDT000902845.1_genomic.fa	2298	62	2445	17	52	20	40
GCA_015889885.1_PDT000902841.1_genomic.fa	2389	23	2397	13	49	23	40
GCA_015889905.1_PDT000902837.1_genomic.fa	2373	17	2428	7	47	22	40
GCA_015889925.1_PDT000902835.1_genomic.fa	2375	3	2435	14	41	25	41
GCA_015889945.1_PDT000902843.1_genomic.fa	2414	7	2392	12	46	22	41
GCA_015889965.1_PDT000902820.1_genomic.fa	1036	1346	2480	3	23	12	34
GCA_015889985.1_PDT000902818.1_genomic.fa	2326	11	2471	17	52	18	39
GCA_015890005.1_PDT000902819.1_genomic.fa	2394	29	2404	10	35	18	44
GCA_015890025.1_PDT000902815.1_genomic.fa	2290	16	2551	1	24	23	29
GCA_015890045.1_PDT000902816.1_genomic.fa	2282	5	2566	6	29	16	30
GCA_015890065.1_PDT000902814.1_genomic.fa	2424	1	2402	11	36	18	42
GCA_015890085.1_PDT000902800.1_genomic.fa	2389	12	2417	9	40	25	42
GCA_015890105.1_PDT000902813.1_genomic.fa	2283	3	2566	6	29	17	30
GCA_015890125.1_PDT000902811.1_genomic.fa	2279	2	2568	9	29	17	30
GCA_015890145.1_PDT000902810.1_genomic.fa	2328	6	2532	7	18	20	23
GCA_015890165.1_PDT000902809.1_genomic.fa	2254	19	2574	13	23	22	29
GCA_015890185.1_PDT000902807.1_genomic.fa	2282	10	2564	3	28	18	29
GCA_015890205.1_PDT000902812.1_genomic.fa	1575	731	2554	5	19	20	30
GCA_015890225.1_PDT000902806.1_genomic.fa	1536	860	2446	9	25	17	41
GCA_015890245.1_PDT000902808.1_genomic.fa	2294	2	2564	3	26	18	27
GCA_015890265.1_PDT000902804.1_genomic.fa	2474	4	2344	7	41	24	40
GCA_015890285.1_PDT000902803.1_genomic.fa	2411	20	2379	12	47	25	40
GCA_015890305.1_PDT000902801.1_genomic.fa	2470	52	2271	11	60	24	46
GCA_015890325.1_PDT000902802.1_genomic.fa	2392	6	2418	13	42	23	40
GCA_015890345.1_PDT000902799.1_genomic.fa	2377	2	2436	12	44	24	39
GCA_015890365.1_PDT000902798.1_genomic.fa	2415	18	2400	9	32	18	42
GCA_015890375.1_PDT000902797.1_genomic.fa	2287	1	2568	6	26	17	29
GCA_015890405.1_PDT000902796.1_genomic.fa	1618	752	2476	9	27	17	35
GCA_015890425.1_PDT000902795.1_genomic.fa	2180	89	2588	3	25	19	30
GCA_015890445.1_PDT000902794.1_genomic.fa	2232	13	2610	4	25	20	30
GCA_015890465.1_PDT000902792.1_genomic.fa	2254	96	2476	12	33	21	42
GCA_015890485.1_PDT000902793.1_genomic.fa	2340	46	2461	13	15	18	41
GCA_015890505.1_PDT000902790.1_genomic.fa	2328	12	2469	14	52	20	39
GCA_015890525.1_PDT000902791.1_genomic.fa	2418	8	2401	12	36	18	41
GCA_015890545.1_PDT000902789.1_genomic.fa	2337	55	2454	7	24	16	41
GCA_015890565.1_PDT000902785.1_genomic.fa	2284	11	2560	4	23	22	30
GCA_015890585.1_PDT000902786.1_genomic.fa	2068	213	2576	11	18	21	27
GCA_015890605.1_PDT000902788.1_genomic.fa	2210	62	2594	3	18	20	27
GCA_015890625.1_PDT000902784.1_genomic.fa	2219	63	2580	8	19	18	27
GCA_015890645.1_PDT000902783.1_genomic.fa	2298	11	2540	10	26	23	26
GCA_015890655.1_PDT000902782.1_genomic.fa	2266	3	2592	4	27	17	25
GCA_015890685.1_PDT000902773.1_genomic.fa	2252	22	2585	0	25	20	30
GCA_015890705.1_PDT000902753.1_genomic.fa	2335	4	2469	15	51	21	39
GCA_015890725.1_PDT000902756.1_genomic.fa	2333	21	2456	17	51	18	38
GCA_015890745.1_PDT000902747.1_genomic.fa	2240	23	2595	8	21	21	26
GCA_015890765.1_PDT000902745.1_genomic.fa	1804	613	2422	11	16	25	43
GCA_015890785.1_PDT000902779.1_genomic.fa	2320	21	2474	14	42	24	39
GCA_015890805.1_PDT000902751.1_genomic.fa	2260	10	2587	5	27	17	28
GCA_015890825.1_PDT000902746.1_genomic.fa	2297	34	2524	6	24	22	27
GCA_015890845.1_PDT000902752.1_genomic.fa	2312	26	2479	11	44	23	39
GCA_015890865.1_PDT000902754.1_genomic.fa	2314	51	2477	11	27	19	35
GCA_015890885.1_PDT000902778.1_genomic.fa	2277	4	2578	9	18	21	27
GCA_015890905.1_PDT000902755.1_genomic.fa	2284	2	2567	6	29	17	29
GCA_015890925.1_PDT000902767.1_genomic.fa	2265	0	2594	4	27	18	26
GCA_015890945.1_PDT000902768.1_genomic.fa	2264	1	2589	9	27	18	26
GCA_015890965.1_PDT000902766.1_genomic.fa	1363	1012	2487	11	12	19	30
GCA_015890985.1_PDT000902775.1_genomic.fa	2280	0	2574	5	31	17	27
GCA_015891005.1_PDT000902765.1_genomic.fa	2269	3	2590	5	24	18	25
GCA_015891025.1_PDT000902769.1_genomic.fa	2254	9	2595	7	24	19	26
GCA_015891045.1_PDT000902764.1_genomic.fa	2310	28	2519	7	20	20	30
GCA_015891065.1_PDT000902777.1_genomic.fa	2400	47	2367	12	44	21	43
GCA_015891085.1_PDT000902776.1_genomic.fa	2364	0	2453	13	40	24	40
GCA_015891105.1_PDT000902763.1_genomic.fa	2270	0	2588	6	26	18	26
GCA_015891125.1_PDT000902762.1_genomic.fa	2255	16	2592	3	26	17	25
GCA_015891145.1_PDT000902770.1_genomic.fa	2301	27	2532	6	19	22	27
GCA_015891165.1_PDT000902748.1_genomic.fa	2345	0	2513	4	24	21	27
GCA_015891185.1_PDT000902759.1_genomic.fa	2285	1	2566	7	29	17	29
GCA_015891205.1_PDT000902744.1_genomic.fa	2243	30	2589	4	24	18	26
GCA_015891225.1_PDT000902760.1_genomic.fa	2344	2	2469	14	46	20	39
GCA_015891245.1_PDT000902758.1_genomic.fa	2283	1	2571	7	26	17	29
GCA_015891265.1_PDT000902757.1_genomic.fa	2257	20	2582	0	26	22	27
GCA_015891285.1_PDT000902742.1_genomic.fa	2290	0	2569	4	26	18	27
GCA_015891305.1_PDT000902739.1_genomic.fa	2398	6	2416	9	41	25	39
GCA_015891325.1_PDT000902741.1_genomic.fa	2154	113	2599	4	22	17	25
GCA_015891345.1_PDT000902740.1_genomic.fa	2321	60	2453	7	34	16	43
GCA_015891365.1_PDT000902743.1_genomic.fa	2322	29	2498	8	27	20	30
GCA_015891385.1_PDT000902736.1_genomic.fa	2285	56	2468	18	48	19	40
GCA_015891405.1_PDT000902737.1_genomic.fa	2268	92	2497	2	23	23	29
GCA_015891425.1_PDT000902733.1_genomic.fa	2357	0	2499	2	24	23	29
GCA_015891445.1_PDT000902734.1_genomic.fa	2361	5	2491	3	22	23	29
GCA_015891465.1_PDT000902735.1_genomic.fa	2326	11	2487	16	33	20	41
GCA_015891485.1_PDT000902728.1_genomic.fa	2306	30	2518	5	27	18	30
GCA_015891505.1_PDT000902731.1_genomic.fa	2425	0	2382	12	50	25	40
GCA_015891525.1_PDT000902730.1_genomic.fa	2290	49	2470	19	47	20	39
GCA_015891545.1_PDT000902732.1_genomic.fa	2262	27	2571	6	22	19	27
GCA_015891565.1_PDT000902726.1_genomic.fa	2275	2	2583	10	18	20	26
GCA_015891585.1_PDT000902709.1_genomic.fa	2382	20	2414	10	41	25	42
GCA_015891605.1_PDT000902727.1_genomic.fa	2276	3	2581	3	24	17	30
GCA_015891665.1_PDT000902707.1_genomic.fa	2288	9	2554	6	25	22	30
GCA_015891685.1_PDT000902725.1_genomic.fa	2284	5	2566	5	26	17	31
GCA_015891745.1_PDT000902721.1_genomic.fa	2240	43	2569	2	29	24	27
GCA_015891765.1_PDT000902723.1_genomic.fa	2273	12	2572	4	27	17	29
GCA_015891785.1_PDT000902722.1_genomic.fa	2329	14	2475	14	39	24	39
GCA_015891805.1_PDT000902718.1_genomic.fa	2410	13	2405	10	34	18	44
GCA_015891815.1_PDT000902720.1_genomic.fa	2272	7	2579	4	24	16	32
GCA_015891845.1_PDT000902719.1_genomic.fa	2282	7	2565	5	27	18	30
GCA_015891865.1_PDT000902716.1_genomic.fa	2295	15	2549	3	23	21	28
GCA_015891885.1_PDT000902715.1_genomic.fa	1061	1383	2339	6	84	23	38
GCA_015891905.1_PDT000902717.1_genomic.fa	2219	105	2548	5	11	19	27
GCA_015891925.1_PDT000902714.1_genomic.fa	2425	1	2381	13	50	24	40
GCA_015891945.1_PDT000902713.1_genomic.fa	2427	2	2376	15	52	24	38
GCA_015891965.1_PDT000902710.1_genomic.fa	2403	1	2416	8	41	25	40
GCA_015891985.1_PDT000902704.1_genomic.fa	2424	0	2384	13	48	25	40
GCA_015892005.1_PDT000902711.1_genomic.fa	2413	3	2397	13	47	23	38
GCA_015892025.1_PDT000902702.1_genomic.fa	1885	517	2438	10	29	22	33
GCA_015892045.1_PDT000902706.1_genomic.fa	2475	3	2343	7	41	25	40
GCA_015892065.1_PDT000902705.1_genomic.fa	2296	14	2508	13	40	23	40
GCA_015892105.1_PDT000902701.1_genomic.fa	2385	9	2445	12	27	23	33
GCA_015892295.1_PDT000902330.1_genomic.fa	590	1564	2697	6	22	23	32
GCA_015913055.1_PDT000902729.1_genomic.fa	2288	6	2563	6	22	20	29
GCA_015944615.1_PDT000670976.1_genomic.fa	2315	55	2468	10	24	19	43
GCA_015944675.1_PDT000670986.1_genomic.fa	2297	33	2495	11	38	22	38
GCA_015944695.1_PDT000670983.1_genomic.fa	2350	0	2474	12	36	24	38
GCA_015944715.1_PDT000670982.1_genomic.fa	2274	5	2583	6	23	16	27
GCA_015944735.1_PDT000670981.1_genomic.fa	2342	3	2476	12	40	23	38
GCA_015944755.1_PDT000670972.1_genomic.fa	2224	53	2582	6	20	17	32
GCA_015944775.1_PDT000670987.1_genomic.fa	2342	3	2476	11	41	23	38
GCA_015944795.1_PDT000670988.1_genomic.fa	2349	2	2472	12	36	25	38
GCA_015944815.1_PDT000670974.1_genomic.fa	2344	1	2462	18	49	20	40
GCA_015945195.1_PDT000670990.1_genomic.fa	2345	2	2471	13	41	23	39
GCA_015945255.1_PDT000670980.1_genomic.fa	2284	35	2533	12	16	16	38
GCA_015945275.1_PDT000670985.1_genomic.fa	2243	41	2572	2	28	17	31
GCA_015945295.1_PDT000670984.1_genomic.fa	2345	2	2471	12	41	24	39
GCA_015945355.1_PDT000670939.1_genomic.fa	2336	0	2532	6	18	19	23
GCA_015945475.1_PDT000670955.1_genomic.fa	2305	43	2508	4	23	20	31
GCA_015945535.1_PDT000670953.1_genomic.fa	1984	296	2594	4	13	13	30
GCA_015945575.1_PDT000670951.1_genomic.fa	1867	394	2603	5	15	21	29
GCA_015945595.1_PDT000670952.1_genomic.fa	2322	8	2482	17	46	20	39
GCA_015945635.1_PDT000670971.1_genomic.fa	2276	4	2570	11	26	17	30
GCA_015945675.1_PDT000670954.1_genomic.fa	2260	13	2586	4	24	18	29
GCA_015945695.1_PDT000670970.1_genomic.fa	2337	8	2475	12	41	23	38
GCA_015945715.1_PDT000670966.1_genomic.fa	2386	19	2446	5	26	21	31
GCA_015945735.1_PDT000670968.1_genomic.fa	2260	13	2585	3	30	17	26
GCA_015945755.1_PDT000670950.1_genomic.fa	2279	6	2572	7	26	17	27
GCA_015945775.1_PDT000670964.1_genomic.fa	2291	0	2570	2	23	18	30
GCA_015945785.1_PDT000670965.1_genomic.fa	2313	6	2529	12	18	16	40
GCA_015945795.1_PDT000670963.1_genomic.fa	2261	3	2595	7	26	17	25
GCA_015945805.1_PDT000670967.1_genomic.fa	2299	8	2551	4	27	17	28
GCA_015945815.1_PDT000670962.1_genomic.fa	2358	135	2300	9	72	24	36
GCA_015945875.1_PDT000670961.1_genomic.fa	2266	13	2577	6	26	17	29
GCA_015945895.1_PDT000670959.1_genomic.fa	2047	221	2591	5	29	17	24
GCA_015945915.1_PDT000670960.1_genomic.fa	2283	1	2574	10	19	20	27
GCA_015945935.1_PDT000670958.1_genomic.fa	2255	5	2601	5	22	17	29
GCA_015945955.1_PDT000670948.1_genomic.fa	2263	12	2584	5	23	17	30
GCA_015945985.1_PDT000670949.1_genomic.fa	2332	11	2475	13	42	23	38
GCA_015946005.1_PDT000670947.1_genomic.fa	2322	20	2462	19	52	20	39
GCA_015946025.1_PDT000670942.1_genomic.fa	2326	20	2501	7	28	21	31
GCA_015946045.1_PDT000670945.1_genomic.fa	2495	9	2304	8	56	27	35
GCA_015946065.1_PDT000670946.1_genomic.fa	2178	90	2589	3	25	21	28
GCA_015946085.1_PDT000670943.1_genomic.fa	2273	33	2544	6	26	19	33
GCA_015946105.1_PDT000670940.1_genomic.fa	2283	0	2577	4	20	18	32
GCA_015946145.1_PDT000670941.1_genomic.fa	2343	3	2513	4	20	20	31
GCA_015946165.1_PDT000670944.1_genomic.fa	2492	4	2312	9	54	27	36
GCA_015946265.1_PDT000670956.1_genomic.fa	2251	1	2614	3	18	21	26
GCA_015946325.1_PDT000670957.1_genomic.fa	2227	23	2609	3	24	19	29
GCA_015946445.1_PDT000670938.1_genomic.fa	2309	0	2541	6	26	19	33
GCA_015946465.1_PDT000670934.1_genomic.fa	2419	10	2417	10	19	17	42
GCA_015946485.1_PDT000670933.1_genomic.fa	2274	0	2586	5	23	17	29
GCA_015946505.1_PDT000670916.1_genomic.fa	2344	0	2477	12	40	23	38
GCA_015946525.1_PDT000670929.1_genomic.fa	2205	46	2608	3	22	22	28
GCA_015946545.1_PDT000670919.1_genomic.fa	2260	6	2592	8	25	17	26
GCA_015946565.1_PDT000670926.1_genomic.fa	2347	0	2473	12	40	23	39
GCA_015946585.1_PDT000670927.1_genomic.fa	2274	1	2583	5	22	18	31
GCA_015946595.1_PDT000670925.1_genomic.fa	2284	7	2564	8	23	20	28
GCA_015946625.1_PDT000670913.1_genomic.fa	2307	18	2536	3	23	17	30
GCA_015946645.1_PDT000670932.1_genomic.fa	2254	10	2592	4	28	18	28
GCA_015946665.1_PDT000670928.1_genomic.fa	2350	0	2474	13	35	24	38
GCA_015946685.1_PDT000670915.1_genomic.fa	1146	1036	2679	2	24	19	28
GCA_015946705.1_PDT000670909.1_genomic.fa	2345	0	2473	13	41	24	38
GCA_015946725.1_PDT000670914.1_genomic.fa	2344	1	2473	12	40	25	39
GCA_015946745.1_PDT000670924.1_genomic.fa	2272	7	2577	7	25	17	29
GCA_015946765.1_PDT000670911.1_genomic.fa	2277	162	2409	4	19	29	34
GCA_015946775.1_PDT000670930.1_genomic.fa	2178	133	2543	8	26	16	30
GCA_015946805.1_PDT000670902.1_genomic.fa	2345	9	2500	4	26	21	29
GCA_015946825.1_PDT000670908.1_genomic.fa	2256	5	2597	4	26	18	28
GCA_015946845.1_PDT000670936.1_genomic.fa	2284	0	2574	10	19	20	27
GCA_015946865.1_PDT000670907.1_genomic.fa	2197	80	2583	5	18	21	30
GCA_015946885.1_PDT000670903.1_genomic.fa	2268	16	2570	7	26	17	30
GCA_015946905.1_PDT000670937.1_genomic.fa	2267	22	2568	6	26	18	27
GCA_015946925.1_PDT000670904.1_genomic.fa	2259	5	2591	9	25	18	27
GCA_015946945.1_PDT000670935.1_genomic.fa	1972	429	2419	7	42	26	39
GCA_015946965.1_PDT000670922.1_genomic.fa	2263	5	2583	9	25	19	30
GCA_015946985.1_PDT000670921.1_genomic.fa	2262	22	2571	7	24	18	30
GCA_015947005.1_PDT000670918.1_genomic.fa	2362	0	2495	2	22	24	29
GCA_015947025.1_PDT000670923.1_genomic.fa	2276	83	2494	3	24	17	37
GCA_015947045.1_PDT000670920.1_genomic.fa	2281	4	2570	6	26	18	29
GCA_015947065.1_PDT000670912.1_genomic.fa	2285	1	2565	7	27	18	31
GCA_015947085.1_PDT000670901.1_genomic.fa	2346	0	2475	12	39	24	38
GCA_015947105.1_PDT000670905.1_genomic.fa	2343	1	2476	12	40	24	38
GCA_015947125.1_PDT000670900.1_genomic.fa	2251	7	2598	8	23	19	28
GCA_015947945.1_PDT000670906.1_genomic.fa	2265	43	2549	4	18	21	34
GCA_016084495.1_PDT000200506.2_genomic.fa	1827	540	2471	10	27	23	36
GCA_016084535.1_PDT000173735.3_genomic.fa	2030	338	2487	6	17	17	39
GCA_016084555.1_PDT000172048.3_genomic.fa	1850	476	2510	9	21	22	46
GCA_016085355.1_PDT000173738.2_genomic.fa	2340	15	2488	5	23	19	44
GCA_016088575.1_PDT000133403.2_genomic.fa	2234	171	2443	9	23	16	38
GCA_016109815.1_PDT000902817.1_genomic.fa	2287	1	2565	7	26	18	30
GCA_016403285.1_ASM1640328v1_genomic.fa	2244	26	2553	0	50	24	37
GCA_016728105.1_ASM1672810v1_genomic.fa	1845	501	2495	0	30	23	40
GCA_016728205.1_ASM1672820v1_genomic.fa	1128	1082	2661	0	17	21	25
GCA_016889445.1_ASM1688944v1_genomic.fa	1937	382	2519	0	30	20	46
GCA_018144015.1_PDT001014179.1_genomic.fa	2130	154	2579	9	12	21	29
GCA_018164715.1_PDT001013020.1_genomic.fa	1240	1047	2579	8	11	17	32
GCA_018178195.1_PDT001013023.1_genomic.fa	1289	911	2667	8	24	15	20
GCA_900447625.1_55064_G01_genomic.fa	754	1464	2624	0	32	20	40
GCA_900447675.1_51765_E02_genomic.fa	2278	0	2559	0	38	22	37
GCA_900683645.1_57792_F02_genomic.fa	1660	689	2485	1	37	21	41
